"","highest_level_of_education","job_satisfaction","self_ascribed_social_class","financial_satisfaction","compare_financial_status_against_other_us_families"
"325","Less Than High School","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Below Average"
"326","High School","A Little Dissatisfied","Working Class","Not Satisfied at All","Far Above Average"
"327","Graduate Degree","Very Dissatisfied","Lower Class","More or Less Satisfied","Above Average"
"328","High School","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Below Average"
"329","Associate / Junior College","A Little Dissatisfied","Working Class","Not Satisfied at All","Far Above Average"
"330","Bachelors Degree","A Little Dissatisfied","Working Class","Not Satisfied at All","Above Average"
"331","Graduate Degree","A Little Dissatisfied","Middle Class","More or Less Satisfied","Average"
"332","Associate / Junior College","A Little Dissatisfied","Working Class","Not Satisfied at All","Below Average"
"333","Associate / Junior College","A Little Dissatisfied","Upper Class","More or Less Satisfied","Above Average"
"334","High School","Moderately Satisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"335","Graduate Degree","Very Satisfied","Lower Class","Not Satisfied at All","Far Below Average"
"336","High School","Very Satisfied","Working Class","More or Less Satisfied","Far Below Average"
"337","Associate / Junior College","Very Satisfied","Working Class","More or Less Satisfied","Far Above Average"
"338","High School","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Average"
"339","Less Than High School","Very Satisfied","Middle Class","Pretty Well Satisfied","Far Above Average"
"340","Less Than High School","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Above Average"
"341","Less Than High School","Very Dissatisfied","Lower Class","More or Less Satisfied","Average"
"342","Less Than High School","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Below Average"
"343","Graduate Degree","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Average"
"344","Associate / Junior College","Moderately Satisfied","Working Class","More or Less Satisfied","Average"
"345","Less Than High School","Very Satisfied","Lower Class","More or Less Satisfied","Average"
"346","Less Than High School","A Little Dissatisfied","Lower Class","Not Satisfied at All","Above Average"
"347","Less Than High School","Moderately Satisfied","Middle Class","Pretty Well Satisfied","Average"
"348","Graduate Degree","A Little Dissatisfied","Middle Class","More or Less Satisfied","Below Average"
"349","Less Than High School","A Little Dissatisfied","Working Class","Not Satisfied at All","Far Above Average"
"350","High School","Moderately Satisfied","Middle Class","More or Less Satisfied","Far Below Average"
"351","Bachelors Degree","Very Satisfied","Working Class","More or Less Satisfied","Far Above Average"
"352","Less Than High School","Very Satisfied","Working Class","More or Less Satisfied","Average"
"353","Graduate Degree","Moderately Satisfied","Lower Class","Not Satisfied at All","Far Above Average"
"354","Graduate Degree","A Little Dissatisfied","Lower Class","More or Less Satisfied","Average"
"355","High School","A Little Dissatisfied","Middle Class","More or Less Satisfied","Below Average"
"356","Less Than High School","Moderately Satisfied","Upper Class","Not Satisfied at All","Above Average"
"357","Less Than High School","A Little Dissatisfied","Middle Class","More or Less Satisfied","Below Average"
"358","Graduate Degree","Very Dissatisfied","Upper Class","More or Less Satisfied","Far Below Average"
"359","Associate / Junior College","Moderately Satisfied","Working Class","More or Less Satisfied","Far Above Average"
"360","Graduate Degree","Very Dissatisfied","Working Class","Not Satisfied at All","Far Below Average"
"361","Associate / Junior College","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Far Above Average"
"362","Associate / Junior College","Moderately Satisfied","Upper Class","More or Less Satisfied","Far Below Average"
"363","Bachelors Degree","Very Dissatisfied","Middle Class","More or Less Satisfied","Far Below Average"
"364","Associate / Junior College","Moderately Satisfied","Working Class","Not Satisfied at All","Average"
"365","Graduate Degree","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Above Average"
"366","Less Than High School","Moderately Satisfied","Lower Class","More or Less Satisfied","Far Below Average"
"367","High School","Very Dissatisfied","Middle Class","Not Satisfied at All","Average"
"368","Graduate Degree","Very Dissatisfied","Lower Class","More or Less Satisfied","Far Above Average"
"369","High School","Very Dissatisfied","Working Class","Not Satisfied at All","Far Above Average"
"370","Less Than High School","Very Dissatisfied","Lower Class","Not Satisfied at All","Far Below Average"
"371","Bachelors Degree","Very Satisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"372","High School","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"373","Bachelors Degree","Moderately Satisfied","Lower Class","Not Satisfied at All","Below Average"
"374","Graduate Degree","Moderately Satisfied","Upper Class","More or Less Satisfied","Far Below Average"
"375","Graduate Degree","Very Dissatisfied","Middle Class","Not Satisfied at All","Far Above Average"
"376","Associate / Junior College","Very Dissatisfied","Middle Class","Not Satisfied at All","Below Average"
"377","High School","Very Dissatisfied","Working Class","Pretty Well Satisfied","Above Average"
"378","Less Than High School","Very Satisfied","Middle Class","More or Less Satisfied","Average"
"379","Bachelors Degree","Very Satisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"380","Associate / Junior College","Moderately Satisfied","Lower Class","More or Less Satisfied","Far Below Average"
"381","Associate / Junior College","Very Satisfied","Upper Class","Pretty Well Satisfied","Average"
"382","High School","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Above Average"
"383","Bachelors Degree","Very Dissatisfied","Middle Class","Not Satisfied at All","Far Below Average"
"384","Less Than High School","Very Satisfied","Middle Class","Not Satisfied at All","Below Average"
"385","Graduate Degree","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Average"
"386","Bachelors Degree","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Below Average"
"387","Less Than High School","Moderately Satisfied","Lower Class","More or Less Satisfied","Above Average"
"388","High School","A Little Dissatisfied","Middle Class","More or Less Satisfied","Far Below Average"
"389","Associate / Junior College","Moderately Satisfied","Upper Class","More or Less Satisfied","Below Average"
"390","High School","Moderately Satisfied","Working Class","More or Less Satisfied","Below Average"
"391","High School","Very Satisfied","Lower Class","More or Less Satisfied","Far Below Average"
"392","Bachelors Degree","Very Satisfied","Upper Class","More or Less Satisfied","Far Below Average"
"393","High School","Moderately Satisfied","Upper Class","Not Satisfied at All","Far Below Average"
"394","Graduate Degree","Very Dissatisfied","Upper Class","Not Satisfied at All","Far Below Average"
"395","Graduate Degree","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Far Above Average"
"396","Bachelors Degree","A Little Dissatisfied","Middle Class","More or Less Satisfied","Above Average"
"397","High School","Very Satisfied","Working Class","Pretty Well Satisfied","Average"
"398","Graduate Degree","Very Dissatisfied","Working Class","Not Satisfied at All","Average"
"399","Associate / Junior College","Very Dissatisfied","Upper Class","More or Less Satisfied","Above Average"
"400","Less Than High School","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Below Average"
"401","Less Than High School","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Below Average"
"402","Associate / Junior College","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Below Average"
"403","Graduate Degree","Very Satisfied","Middle Class","Not Satisfied at All","Far Above Average"
"404","Less Than High School","Moderately Satisfied","Lower Class","More or Less Satisfied","Far Below Average"
"405","Bachelors Degree","Moderately Satisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"406","Less Than High School","Moderately Satisfied","Upper Class","More or Less Satisfied","Average"
"407","Graduate Degree","Moderately Satisfied","Working Class","Not Satisfied at All","Above Average"
"408","Less Than High School","Very Dissatisfied","Lower Class","Not Satisfied at All","Far Below Average"
"409","Less Than High School","Very Dissatisfied","Working Class","More or Less Satisfied","Above Average"
"410","Graduate Degree","Moderately Satisfied","Working Class","Not Satisfied at All","Average"
"411","Less Than High School","A Little Dissatisfied","Middle Class","Not Satisfied at All","Far Above Average"
"412","Graduate Degree","Moderately Satisfied","Working Class","Not Satisfied at All","Far Below Average"
"413","Graduate Degree","A Little Dissatisfied","Upper Class","More or Less Satisfied","Far Above Average"
"414","Less Than High School","Very Satisfied","Middle Class","Not Satisfied at All","Above Average"
"415","Associate / Junior College","Moderately Satisfied","Lower Class","More or Less Satisfied","Far Below Average"
"416","Associate / Junior College","A Little Dissatisfied","Lower Class","More or Less Satisfied","Average"
"417","Graduate Degree","Very Satisfied","Working Class","Not Satisfied at All","Average"
"418","Bachelors Degree","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Far Above Average"
"419","Bachelors Degree","Moderately Satisfied","Middle Class","Pretty Well Satisfied","Below Average"
"420","Graduate Degree","Moderately Satisfied","Lower Class","More or Less Satisfied","Far Below Average"
"421","Graduate Degree","Very Dissatisfied","Working Class","More or Less Satisfied","Average"
"422","Associate / Junior College","Moderately Satisfied","Working Class","Pretty Well Satisfied","Average"
"423","Graduate Degree","A Little Dissatisfied","Lower Class","Not Satisfied at All","Far Below Average"
"424","Graduate Degree","A Little Dissatisfied","Upper Class","Not Satisfied at All","Below Average"
"425","High School","Very Satisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"426","High School","Very Dissatisfied","Upper Class","More or Less Satisfied","Below Average"
"427","Bachelors Degree","Very Satisfied","Lower Class","More or Less Satisfied","Average"
"428","Graduate Degree","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Below Average"
"429","Bachelors Degree","Very Dissatisfied","Upper Class","Not Satisfied at All","Average"
"430","High School","Very Satisfied","Working Class","Not Satisfied at All","Far Above Average"
"431","Bachelors Degree","A Little Dissatisfied","Middle Class","Not Satisfied at All","Far Below Average"
"432","Bachelors Degree","A Little Dissatisfied","Working Class","Not Satisfied at All","Below Average"
"433","Less Than High School","Moderately Satisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"434","High School","Very Dissatisfied","Middle Class","Not Satisfied at All","Above Average"
"435","Graduate Degree","Moderately Satisfied","Working Class","More or Less Satisfied","Average"
"436","High School","Very Satisfied","Middle Class","Pretty Well Satisfied","Above Average"
